GEOID10,profile,time_limit,average_num_poi,average_rating_poi
421010039013.0,car,1800,28078.8,3.55374161288944
421010039013.0,car,1200,18344.2,3.602272107805192
421010039013.0,pt,600,200.4,3.993013972055888
421010039013.0,pt,1800,4743.0,3.733354417035632
421010039013.0,pt,1200,1047.8,3.843577018514984
421010039013.0,foot,600,200.4,3.9825349301397206
421010039013.0,foot,1800,1155.4,3.866020425826554
421010039013.0,foot,1200,631.4,3.8763066202090593
421010252006.0,car,600,2277.2,3.579834884946425
421010252006.0,car,1800,27981.8,3.5674581335010616
421010252006.0,car,1200,16731.0,3.6227422150499073
421010252006.0,pt,600,26.2,3.965648854961832
421010252006.0,pt,1800,650.6,3.5112204119274515
421010252006.0,pt,1200,197.8,3.602123356926188
421010252006.0,foot,600,22.8,3.960526315789474
421010252006.0,foot,1800,270.0,3.5974074074074074
421010252006.0,foot,1200,108.2,3.698706099815157
421010039014.0,car,600,9818.4,3.698810396805997
421010039014.0,car,1800,28212.4,3.5531610213948475
421010039014.0,car,1200,18444.0,3.603188028627196
421010039014.0,pt,600,269.0,3.9609665427509295
421010039014.0,pt,1800,5825.2,3.726738996085971
421010039014.0,pt,1200,1884.4,3.7754192315856505
421010039014.0,foot,600,239.6,3.975792988313856
421010039014.0,foot,1800,1520.4,3.907458563535912
421010039014.0,foot,1200,729.4,3.961338086098163
421010252003.0,car,600,2380.2,3.564994538274094
421010252003.0,car,1800,28434.0,3.5655518041780967
421010252003.0,car,1200,17346.2,3.626454208991018
421010252003.0,pt,600,27.2,3.3933823529411766
421010252003.0,pt,1800,809.8,3.4712274635712523
421010252003.0,pt,1200,244.4,3.4202127659574466
421010252003.0,foot,600,22.0,3.395454545454545
421010252003.0,foot,1800,284.6,3.555867884750527
421010252003.0,foot,1200,113.4,3.5811287477954146
421010252004.0,car,600,2407.0,3.5654341503946823
421010252004.0,car,1800,28459.8,3.565696174955552
421010252004.0,car,1200,17297.4,3.6260709702036142
421010252004.0,pt,600,14.4,3.2777777777777777
421010252004.0,pt,1800,727.6,3.48543155579989
421010252004.0,pt,1200,198.8,3.4315895372233403
421010252004.0,foot,600,16.2,3.382716049382716
421010252004.0,foot,1800,283.4,3.5571630204657727
421010252004.0,foot,1200,94.2,3.563694267515924
421010252007.0,car,600,2345.8,3.5728109813283315
421010252007.0,car,1800,28270.4,3.566833154111721
421010252007.0,car,1200,16880.8,3.620189801431212
421010252007.0,pt,600,4.8,3.7916666666666665
421010252007.0,pt,1800,692.6,3.4722783713543173
421010252007.0,pt,1200,177.0,3.454237288135593
421010252007.0,foot,600,6.8,3.676470588235294
421010252007.0,foot,1800,265.4,3.615297663903542
421010252007.0,foot,1200,79.2,3.662878787878788
421010252005.0,car,600,2383.4,3.5661659813711504
421010252005.0,car,1800,28536.4,3.565484784345608
421010252005.0,car,1200,17164.0,3.624831041715218
421010252005.0,pt,600,4.6,3.760869565217391
421010252005.0,pt,1800,640.8,3.438358302122347
421010252005.0,pt,1200,165.2,3.4418886198547214
421010252005.0,foot,600,6.0,3.883333333333333
421010252005.0,foot,1800,258.6,3.5293890177880898
421010252005.0,foot,1200,83.6,3.610047846889952
421010039021.0,car,600,9738.8,3.693915061403869
421010039021.0,car,1800,28230.4,3.5540233223758784
421010039021.0,car,1200,18860.8,3.5965123430607395
421010039021.0,pt,600,211.8,3.9820585457979223
421010039021.0,pt,1800,4708.4,3.7275932376178735
421010039021.0,pt,1200,1081.8,3.832408948049547
421010039021.0,foot,600,196.2,3.954128440366973
421010039021.0,foot,1800,1214.8,3.834376028975963
421010039021.0,foot,1200,674.4,3.901986951364176
421010039022.0,car,600,9763.6,3.695511901347864
421010039022.0,car,1800,28277.0,3.553838808925982
421010039022.0,car,1200,19049.6,3.595471820930624
421010039022.0,pt,600,323.2,3.828279702970297
421010039022.0,pt,1800,6834.6,3.716720802973108
421010039022.0,pt,1200,2748.2,3.728731533367295
421010039022.0,foot,600,126.0,4.004761904761905
421010039022.0,foot,1800,1008.0,3.821230158730159
421010039022.0,foot,1200,530.8,3.8504144687264503
421010039023.0,car,600,9604.6,3.695312662682465
421010039023.0,car,1800,28152.0,3.554099175902245
421010039023.0,car,1200,18820.4,3.5957577947333745
421010039023.0,pt,600,108.0,4.013888888888889
421010039023.0,pt,1800,4494.4,3.728195087219651
421010039023.0,pt,1200,900.8,3.811278863232682
421010039023.0,foot,600,76.4,3.956806282722513
421010039023.0,foot,1800,839.4,3.812842506552299
421010039023.0,foot,1200,376.6,3.7976633032395113
421010039024.0,car,600,9710.2,3.693219501143128
421010039024.0,car,1800,28377.0,3.5535997462733904
421010039024.0,car,1200,19070.0,3.599454640797064
421010039024.0,pt,600,305.6,3.845222513089005
421010039024.0,pt,1800,6407.2,3.71805156698714
421010039024.0,pt,1200,2369.0,3.7416209371042632
421010039024.0,foot,600,120.8,3.971026490066225
421010039024.0,foot,1800,924.0,3.83495670995671
421010039024.0,foot,1200,467.0,3.783297644539615
421010080001.0,car,600,8706.6,3.658006569728712
421010080001.0,car,1800,28078.2,3.560249588648845
421010080001.0,car,1200,17713.2,3.623743874624574
421010080001.0,pt,600,107.8,3.715213358070501
421010080001.0,pt,1800,2210.6,3.5589885099068126
421010080001.0,pt,1200,609.6,3.566437007874016
421010080001.0,foot,600,97.2,3.728395061728395
421010080001.0,foot,1800,552.4,3.577661115133961
421010080001.0,foot,1200,294.0,3.717006802721088
421010080002.0,car,600,8585.2,3.663082980012114
421010080002.0,car,1800,27964.0,3.5601988270633678
421010080002.0,car,1200,17769.6,3.6258947866018367
421010080002.0,pt,600,82.8,3.8683574879227054
421010080002.0,pt,1800,2194.2,3.55491750979856
421010080002.0,pt,1200,408.4,3.6625857002938296
421010080002.0,foot,600,86.6,3.837182448036952
421010080002.0,foot,1800,509.2,3.592301649646504
421010080002.0,foot,1200,273.2,3.6767935578330895
421010080003.0,car,600,7620.8,3.649826789838337
421010080003.0,car,1800,27500.2,3.562864997345474
421010080003.0,car,1200,17339.6,3.630377863387852
421010080003.0,pt,600,65.8,3.8328267477203646
421010080003.0,pt,1800,2071.2,3.542680571649285
421010080003.0,pt,1200,391.2,3.677914110429448
421010080003.0,foot,600,62.0,3.846774193548387
421010080003.0,foot,1800,400.2,3.647676161919041
421010080003.0,foot,1200,224.2,3.664585191793042
421010080004.0,car,600,7789.2,3.644263852513737
421010080004.0,car,1800,27666.8,3.562385241516908
421010080004.0,car,1200,17372.4,3.629101333149133
421010080004.0,pt,600,69.8,3.6432664756446993
421010080004.0,pt,1800,2460.8,3.569530234070221
421010080004.0,pt,1200,485.0,3.571958762886598
421010080004.0,foot,600,47.8,3.596234309623431
421010080004.0,foot,1800,439.4,3.63882567137005
421010080004.0,foot,1200,239.8,3.635946622185154
421010293001.0,car,600,2918.4,3.539782072368421
421010293001.0,car,1800,30547.8,3.549126287326747
421010293001.0,car,1200,19181.6,3.606059974141886
421010293001.0,pt,600,18.2,3.587912087912088
421010293001.0,pt,1800,582.4,3.40470467032967
421010293001.0,pt,1200,108.8,3.2205882352941178
421010293001.0,foot,600,18.8,3.382978723404255
421010293001.0,foot,1800,178.4,3.241591928251121
421010293001.0,foot,1200,68.6,3.351311953352769
421010293002.0,car,600,3554.8,3.585912006301339
421010293002.0,car,1800,30572.4,3.548913399013489
421010293002.0,car,1200,19274.8,3.6035237719716937
421010293002.0,pt,600,27.0,3.4703703703703703
421010293002.0,pt,1800,2172.4,3.628751611121341
421010293002.0,pt,1200,245.6,3.5
421010293002.0,foot,600,22.4,3.5044642857142856
421010293002.0,foot,1800,197.8,3.2598584428715878
421010293002.0,foot,1200,82.6,3.3595641646489103
421010121001.0,car,600,7621.8,3.601603295809389
421010121001.0,car,1800,29629.8,3.56159002085738
421010121001.0,car,1200,19676.0,3.613961170969709
421010121001.0,pt,600,103.8,3.017341040462428
421010121001.0,pt,1800,921.6,3.526692708333333
421010121001.0,pt,1200,319.8,3.2632895559724826
421010121001.0,foot,600,78.2,3.089514066496164
421010121001.0,foot,1800,313.0,3.2747603833865813
