GEOID10,profile,time_limit,average_area
421010031006.0,car,1200,1116115990.4355125
421010031006.0,foot,600,2492239.141443558
421010031006.0,foot,1800,20946370.30173254
421010031006.0,foot,1200,10216238.219793899
421010031006.0,pt,600,2194489.7102871602
421010031006.0,pt,1800,36166702.39135619
421010031006.0,pt,1200,13603671.73509647
421010244001.0,car,600,242462425.29744214
421010244001.0,car,1800,3303646335.8148894
421010244001.0,car,1200,1215817197.6315103
421010244001.0,foot,600,1967920.9948004268
421010244001.0,foot,1800,20422484.064917307
421010244001.0,foot,1200,8239741.153217179
421010244001.0,pt,600,1384612.3369526402
421010244001.0,pt,1800,40109960.673774615
421010244001.0,pt,1200,9224965.94206864
421010244002.0,car,600,242339542.44181266
421010244002.0,car,1800,3307845022.206683
421010244002.0,car,1200,1214403059.440008
421010244002.0,foot,600,1969357.4997909435
421010244002.0,foot,1800,20567979.16258614
421010244002.0,foot,1200,8658575.689388422
421010244002.0,pt,600,1541042.9038636147
421010244002.0,pt,1800,62630130.08737397
421010244002.0,pt,1200,13806908.726741526
421010244003.0,car,600,211744199.73168987
421010244003.0,car,1800,3144406843.175816
421010244003.0,car,1200,1129045264.3674939
421010244003.0,foot,600,1949996.4484032076
421010244003.0,foot,1800,20710964.276839953
421010244003.0,foot,1200,8690068.635364389
421010244003.0,pt,600,1659020.6307996581
421010244003.0,pt,1800,38576271.18030813
421010244003.0,pt,1200,10073034.989667306
421010072001.0,car,600,191301827.8858846
421010072001.0,car,1800,3054694807.632842
421010072001.0,car,1200,1001164650.261008
421010072001.0,foot,600,2167605.1310462514
421010072001.0,foot,1800,19982911.769224208
421010072001.0,foot,1200,8663054.9287221
421010072001.0,pt,600,2010699.8348986122
421010072001.0,pt,1800,49739661.093470946
421010072001.0,pt,1200,12612961.514832925
421010072002.0,car,600,183835281.61481413
421010072002.0,car,1800,3046080746.5293174
421010072002.0,car,1200,994106051.095796
421010072002.0,foot,600,2146555.8916819273
421010072002.0,foot,1800,20277115.90051514
421010072002.0,foot,1200,9245946.430290919
421010072002.0,pt,600,2510494.9942128784
421010072002.0,pt,1800,56481891.0978717
421010072002.0,pt,1200,16300662.63733826
421010072003.0,car,600,188053382.08612025
421010072003.0,car,1800,3080813932.42592
421010072003.0,car,1200,998742129.9617393
421010072003.0,foot,600,2052580.7389241979
421010072003.0,foot,1800,19807581.410737492
