,isochrone,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
186,421010110001-600-pt,"39.972428220268384,-75.20517069878659",2573219.9603330265,3.578125,True,4245.550548034552,0.0,4960.0,34,1.3213017357287915e-05
187,421010110001-1200-pt,"39.972428220268384,-75.20517069878659",18351480.009377927,3.508323424494649,True,17413.97954551323,0.0,7232.0,128,6.9749142812781186e-06
188,421010110001-1800-pt,"39.972428220268384,-75.20517069878659",61194277.12909703,3.649224425682309,True,68260.90723702578,0.0,8960.0,482,7.876553537566272e-06
225,421010110003-600-foot,"39.97434330350556,-75.20735593273575",1975043.6077151417,3.1666666666666665,True,3990.2783108226104,0.00010518417967431423,4528.0,18,9.113722820947516e-06
226,421010110003-1200-foot,"39.97434330350556,-75.20735593273575",8383676.894849006,3.574074074074074,True,4752.023511221624,0.0,4960.0,48,5.7254114873500865e-06
227,421010110003-1800-foot,"39.97434330350556,-75.20735593273575",19780468.202707227,3.5408415841584158,True,11406.655238020307,0.0,5584.0,109,5.5104863486033086e-06
228,421010110003-600-car,"39.97434330350556,-75.20735593273575",227896061.54863155,3.6872659176029963,True,253445.35936059107,0.0,8960.0,1240,5.441076917142739e-06
229,421010110003-1200-car,"39.97434330350556,-75.20735593273575",1187555927.3943882,3.6418650793650795,True,844419.9132359612,0.0,11264.0,2720,2.2904184445173386e-06
230,421010110003-1800-car,"39.97434330350556,-75.20735593273575",3441693248.9371443,3.6228630278063854,True,944060.3934963488,0.0,12224.0,2860,8.309863178199332e-07
231,421010110003-600-pt,"39.97434330350556,-75.20735593273575",1565435.181843588,3.3333333333333335,True,3990.2783108226104,0.00029702026282142706,4624.0,13,8.304400048483712e-06
232,421010110003-1200-pt,"39.97434330350556,-75.20735593273575",10831086.709248092,3.6714285714285713,True,13657.69349779344,0.0,5680.0,83,7.663127646197375e-06
233,421010110003-1800-pt,"39.97434330350556,-75.20735593273575",44672509.48227618,3.5186355022109916,True,44693.67283519798,0.0,7248.0,350,7.834796031301141e-06
270,421010111004-600-foot,"39.97545325216546,-75.22815363105919",2187017.2833275325,3.2708333333333335,False,2129.517778088914,0.0,6752.0,38,1.7375262778986022e-05
271,421010111004-1200-foot,"39.97545325216546,-75.22815363105919",8757209.813969838,3.1640625,False,10089.794293731364,0.0,6592.0,106,1.2104312018527263e-05
272,421010111004-1800-foot,"39.97545325216546,-75.22815363105919",21029422.54646153,3.2774725274725274,False,21453.06588581203,0.0,6768.0,228,1.0841952483301256e-05
273,421010111004-600-car,"39.97545325216546,-75.22815363105919",214324322.80504805,3.628903903903904,True,142660.03099837893,0.0,8928.0,861,4.0172761949336746e-06
274,421010111004-1200-car,"39.97545325216546,-75.22815363105919",1120821872.757113,3.6435778772475533,True,778496.1910769755,0.0,10816.0,2624,2.3411391798994917e-06
275,421010111004-1800-car,"39.97545325216546,-75.22815363105919",3162286044.5502462,3.6230425824175825,True,942103.599817193,0.0,12224.0,2855,9.028278782433959e-07
276,421010111004-600-pt,"39.97545325216546,-75.22815363105919",1762540.1383009278,3.357142857142857,False,529.179677959266,0.0,6752.0,29,1.6453526004778383e-05
277,421010111004-1200-pt,"39.97545325216546,-75.22815363105919",15746441.709215544,3.3137254901960786,True,20469.636510600405,0.0,6752.0,193,1.2256737335587856e-05
278,421010111004-1800-pt,"39.97545325216546,-75.22815363105919",48376602.2749581,3.44375,True,46418.63026740155,0.0,8256.0,440,9.095305980754333e-06
315,421010111002-600-foot,"39.97164615142378,-75.2209475000264",1228450.1701985328,3.5,False,506.472963187072,0.002513888909268164,5488.0,13,1.0582439821632358e-05
316,421010111002-1200-foot,"39.97164615142378,-75.2209475000264",7525530.857802966,3.160377358490566,False,3196.7654605277257,0.0,5792.0,86,1.1427765246730672e-05
317,421010111002-1800-foot,"39.97164615142378,-75.2209475000264",19304313.519949853,3.3737373737373737,True,16673.9135125474,0.0,6112.0,206,1.067119013515354e-05
318,421010111002-600-car,"39.97164615142378,-75.2209475000264",182962295.2327976,3.648663543675944,True,136631.17204577004,0.0,8960.0,882,4.820665366477616e-06
319,421010111002-1200-car,"39.97164615142378,-75.2209475000264",1050876196.7752603,3.642564180464834,True,782108.1951542783,0.0,10816.0,2624,2.4969639697350256e-06
320,421010111002-1800-car,"39.97164615142378,-75.2209475000264",3103007283.0970635,3.623213794998626,True,943148.0518495736,0.0,12224.0,2854,9.197529169675253e-07
321,421010111002-600-pt,"39.97164615142378,-75.2209475000264",1043500.8756795572,3.45,False,506.472963187072,0.0019734658408970063,6080.0,14,1.3416375899907899e-05
322,421010111002-1200-pt,"39.97164615142378,-75.2209475000264",11353004.584095705,3.3333333333333335,True,8342.00638887025,0.0,6048.0,164,1.4445515174876766e-05
323,421010111002-1800-pt,"39.97164615142378,-75.2209475000264",44101778.56734846,3.4734352256186316,True,40397.23674281113,0.0,8256.0,435,9.863547778140178e-06
360,421010111003-600-foot,"39.972252484959206,-75.22591884039616",2189858.198478648,3.3125,False,506.472963187072,0.0013664555159143639,6208.0,35,1.5982770037035008e-05
361,421010111003-1200-foot,"39.972252484959206,-75.22591884039616",7930448.476139782,3.360294117647059,False,4766.452878882081,0.0,6048.0,104,1.311401244367241e-05
362,421010111003-1800-foot,"39.972252484959206,-75.22591884039616",19915108.900796406,3.281767955801105,True,23358.954731965485,0.0,6720.0,229,1.1498807319644749e-05
363,421010111003-600-car,"39.972252484959206,-75.22591884039616",208873081.22679436,3.6485128063894243,True,149435.50383296577,0.0,9152.0,894,4.280111131358736e-06
